user_email,device_id,metric_value,metric_unit,metric_timestamp
prothetic1@example.com,7c4e4b8a-1f2a-4e9b-b6c3-8d5e2f1a9c7b,85.2,battery_percent,2025-10-22 08:30:45
prothetic1@example.com,7c4e4b8a-1f2a-4e9b-b6c3-8d5e2f1a9c7b,12.7,temperature_c,2025-10-22 08:30:45
prothetic1@example.com,7c4e4b8a-1f2a-4e9b-b6c3-8d5e2f1a9c7b,156,grip_force_kg,2025-10-22 08:30:45
prothetic1@example.com,7c4e4b8a-1f2a-4e9b-b6c3-8d5e2f1a9c7b,3200,signal_strength,2025-10-22 08:30:45
prothetic1@example.com,7c4e4b8a-1f2a-4e9b-b6c3-8d5e2f1a9c7b,450,usage_minutes,2025-10-22 08:30:45
prothetic1@example.com,7c4e4b8a-1f2a-4e9b-b6c3-8d5e2f1a9c7b,83.7,battery_percent,2025-10-21 12:15:22
prothetic1@example.com,7c4e4b8a-1f2a-4e9b-b6c3-8d5e2f1a9c7b,13.2,temperature_c,2025-10-21 12:15:22
prothetic1@example.com,7c4e4b8a-1f2a-4e9b-b6c3-8d5e2f1a9c7b,128,grip_force_kg,2025-10-21 12:15:22
prothetic1@example.com,7c4e4b8a-1f2a-4e9b-b6c3-8d5e2f1a9c7b,2850,signal_strength,2025-10-21 12:15:22
prothetic1@example.com,7c4e4b8a-1f2a-4e9b-b6c3-8d5e2f1a9c7b,520,usage_minutes,2025-10-21 12:15:22
prothetic1@example.com,7c4e4b8a-1f2a-4e9b-b6c3-8d5e2f1a9c7b,78.9,battery_percent,2025-10-22 16:45:10
prothetic1@example.com,7c4e4b8a-1f2a-4e9b-b6c3-8d5e2f1a9c7b,14.1,temperature_c,2025-10-22 16:45:10
prothetic1@example.com,7c4e4b8a-1f2a-4e9b-b6c3-8d5e2f1a9c7b,142,grip_force_kg,2025-10-22 16:45:10
prothetic1@example.com,7c4e4b8a-1f2a-4e9b-b6c3-8d5e2f1a9c7b,3100,signal_strength,2025-10-22 16:45:10
prothetic1@example.com,7c4e4b8a-1f2a-4e9b-b6c3-8d5e2f1a9c7b,610,usage_minutes,2025-10-22 16:45:10
prothetic1@example.com,7c4e4b8a-1f2a-4e9b-b6c3-8d5e2f1a9c7b,72.3,battery_percent,2025-10-21 20:30:05
prothetic1@example.com,7c4e4b8a-1f2a-4e9b-b6c3-8d5e2f1a9c7b,12.9,temperature_c,2025-10-21 20:30:05
prothetic1@example.com,7c4e4b8a-1f2a-4e9b-b6c3-8d5e2f1a9c7b,135,grip_force_kg,2025-10-21 20:30:05
prothetic1@example.com,7c4e4b8a-1f2a-4e9b-b6c3-8d5e2f1a9c7b,2950,signal_strength,2025-10-21 20:30:05
prothetic1@example.com,7c4e4b8a-1f2a-4e9b-b6c3-8d5e2f1a9c7b,680,usage_minutes,2025-10-21 20:30:05
prothetic2@example.com,a3b5c7d9-e8f1-4a6b-9c2d-5e7f8a9b1c3d,92.1,battery_percent,2025-10-22 07:30:15
prothetic2@example.com,a3b5c7d9-e8f1-4a6b-9c2d-5e7f8a9b1c3d,13.2,temperature_c,2025-10-22 07:30:15
prothetic2@example.com,a3b5c7d9-e8f1-4a6b-9c2d-5e7f8a9b1c3d,8567,step_count,2025-10-22 07:30:15
prothetic2@example.com,a3b5c7d9-e8f1-4a6b-9c2d-5e7f8a9b1c3d,4.2,walking_speed_kmh,2025-10-22 07:30:15
prothetic2@example.com,a3b5c7d9-e8f1-4a6b-9c2d-5e7f8a9b1c3d,3250,signal_strength,2025-10-22 07:30:15
prothetic2@example.com,a3b5c7d9-e8f1-4a6b-9c2d-5e7f8a9b1c3d,88.7,battery_percent,2025-10-21 12:45:30
prothetic2@example.com,a3b5c7d9-e8f1-4a6b-9c2d-5e7f8a9b1c3d,14.1,temperature_c,2025-10-21 12:45:30
prothetic2@example.com,a3b5c7d9-e8f1-4a6b-9c2d-5e7f8a9b1c3d,12453,step_count,2025-10-21 12:45:30
prothetic2@example.com,a3b5c7d9-e8f1-4a6b-9c2d-5e7f8a9b1c3d,3.8,walking_speed_kmh,2025-10-21 12:45:30
prothetic2@example.com,a3b5c7d9-e8f1-4a6b-9c2d-5e7f8a9b1c3d,2980,signal_strength,2025-10-21 12:45:30
prothetic2@example.com,a3b5c7d9-e8f1-4a6b-9c2d-5e7f8a9b1c3d,83.4,battery_percent,2025-10-22 17:20:45
prothetic2@example.com,a3b5c7d9-e8f1-4a6b-9c2d-5e7f8a9b1c3d,15.3,temperature_c,2025-10-22 17:20:45
prothetic2@example.com,a3b5c7d9-e8f1-4a6b-9c2d-5e7f8a9b1c3d,15892,step_count,2025-10-22 17:20:45
prothetic2@example.com,a3b5c7d9-e8f1-4a6b-9c2d-5e7f8a9b1c3d,4.5,walking_speed_kmh,2025-10-22 17:20:45
